work_id,size_id,sale_price,regular_price
29792,30,95,95
29794,1624,235,395
29796,30,95,95
176823,3624,315,565
176833,3624,315,565
122099,30,95,95
122110,30,95,95
122141,36,125,125
122132,2436,315,565
122159,36,125,125
122121,2016,215,365
122066,1620,215,365
122077,1620,215,365
122088,30,95,95
23159,3024,285,505
23165,3020,275,485
23163,3024,285,505
23167,3024,285,505
23169,3024,285,505
23173,3020,275,485
23171,3020,275,485
23177,3020,275,485
23175,3020,275,485
23161,3024,285,505
23179,3020,275,485
23181,3020,275,485
23183,3024,285,505
23185,3024,285,505
23189,3024,285,505
23191,3020,275,485
23193,3024,285,505
23195,3024,285,505
23197,3024,285,505
23199,3020,275,485
23201,3024,285,505
23203,3024,285,505
31754,2936,385,685
31758,2024,265,465
31760,4630,445,785
31762,2936,375,685
31764,2936,375,685
31768,3024,305,545
187640,2430,305,545
187649,2430,305,545
31776,40,145,145
31772,2430,305,545
27968,2436,315,565
27970,2436,315,565
27972,2024,245,425
27974,3030,335,605
27976,2430,285,505
27978,20,75,75
27980,2424,265,465
27982,2424,265,465
27986,2436,315,565
27988,2436,315,565
27990,2436,355,565
27992,2430,285,505
27994,2436,315,565
27996,2436,315,565
27998,2030,275,485
28000,2430,285,505
28002,2430,285,505
28004,30,95,95
206967,30,95,95
28006,30,95,95
28008,2024,245,425
27984,2030,275,485
28012,2024,245,425
28014,2430,285,505
28016,2430,285,505
28018,2430,285,505
28020,2436,315,565
28022,24,85,85
28024,2430,285,505
28026,30,95,95
124125,2016,215,355
124136,2016,215,355
124169,2020,245,405
124147,2016,215,355
124158,1620,215,355
23013,1620,215,365
23017,2020,245,425
23019,1624,235,405
23021,1620,215,365
23023,2016,215,365
23025,2416,235,405
23027,3216,255,445
23029,2016,215,365
23031,1624,235,405
204231,30,95,95
23033,2416,235,405
23035,1620,215,365
23037,2416,235,405
23039,3216,255,445
23041,1624,235,405
23043,1620,215,365
23045,1620,215,365
23047,2416,235,405
23049,2416,235,405
23051,3216,255,445
23053,1624,235,405
30146,3624,315,555
30148,3624,315,555
184585,3624,315,555
184558,2430,285,495
184592,3624,315,555
184613,1624,235,395
184599,3624,315,555
30150,3624,315,555
30152,2430,285,495
184606,3624,315,555
199701,3624,315,555
184567,2430,285,495
184622,1624,235,395
184576,2430,285,495
30154,4020,295,515
31640,2416,235,405
31644,2416,235,405
31646,3624,315,565
31648,2416,235,405
31650,2416,235,405
31652,2416,235,405
31654,2016,215,365
31656,2016,215,365
31658,1624,235,405
31660,2416,235,405
31664,3624,345,565
31662,2416,235,405
31666,2416,235,405
31668,2016,215,365
31670,2416,235,405
31672,2416,235,405
206544,30,95,95
31674,2416,235,405
31676,2416,235,405
31678,2416,235,405
31680,2016,215,365
31684,2016,215,365
31686,2416,235,405
31682,2416,235,405
31688,2016,215,365
31690,2416,235,405
31692,2416,235,405
31694,1624,235,405
31698,1620,215,365
31700,30,95,95
29726,30,95,95
29728,30,95,95
29730,3629,375,675
29732,3624,335,595
29734,2936,375,675
29736,3624,335,595
29738,2632,325,575
29740,3624,335,595
29742,2430,305,535
29744,2430,305,535
29746,3624,335,595
29748,3624,335,595
204869,2430,305,535
29750,20,75,75
29752,2632,325,575
29754,30,95,95
29756,3629,375,675
204860,30,95,95
27347,2016,215,355
27349,1620,215,355
27351,1624,235,395
27353,1620,215,355
27355,2016,215,355
27357,2416,235,395
27359,2416,235,395
27361,1620,215,355
27363,1620,215,355
27365,1620,215,355
27367,2020,245,415
27369,1624,235,395
27371,1620,215,355
27373,2016,215,355
27375,1620,215,355
27377,1624,235,395
27379,2416,235,395
27381,2016,215,355
27383,2016,215,355
27385,2016,215,355
27389,1620,215,355
27387,1620,215,355
27391,2016,215,355
27395,2416,235,395
27393,1620,215,355
27397,2416,235,395
27399,2020,245,415
27401,2016,215,355
27403,1620,215,355
27405,2016,215,355
193587,36,125,125
193692,40,145,145
193596,36,125,125
193603,36,125,125
193617,30,95,95
193610,36,125,125
193629,30,95,95
193638,30,95,95
193697,40,145,145
193674,48,165,165
193683,48,165,165
193647,30,95,95
193656,30,95,95
193665,30,95,95
27593,30,95,95
27595,2430,305,535
27597,3624,335,595
199604,40,145,145
27603,2632,325,575
27605,2430,305,535
27607,2430,305,535
29966,1620,215,355
29968,2016,215,355
29970,1620,215,355
29972,2016,215,355
29974,2416,235,395
29976,1620,215,355
29978,2016,215,355
29980,2016,215,355
191832,3024,295,485
191845,30,95,95
191856,3024,285,485
191918,3024,305,485
191927,30,95,95
191954,36,125,125
191867,3024,285,485
191909,36,125,125
191936,30,95,95
191878,3024,285,485
191945,2936,385,625
191889,3024,295,485
191900,3024,295,485
29074,2936,395,685
29076,24,85,85
29078,2436,355,605
29080,3629,395,685
29082,2936,395,685
29088,2936,405,685
122945,2424,265,445
122782,30,95,95
122793,30,95,95
122857,30,95,95
122879,2430,285,485
122890,2430,285,485
122868,2430,285,485
122901,30,95,95
122912,2430,285,485
122804,3024,305,485
122923,2430,285,485
122837,24,85,85
122815,3024,285,485
122826,3024,285,485
122934,2430,285,485
189370,7248,885,1455
168000,6854,845,1505
189382,3648,495,875
189387,5468,845,1505
189377,6854,855,1505
27139,1620,215,355
27141,2016,215,355
27143,1620,215,355
205085,1620,195,355
27145,2016,215,355
27147,1620,215,355
27149,2016,215,355
27151,2016,215,355
27153,2016,215,355
27155,1620,215,355
27157,1620,215,355
27159,1620,215,355
27161,2016,215,355
27163,2016,215,355
27165,1620,215,355
27167,1624,235,395
27169,1620,215,355
27171,36,125,125
27173,2416,235,395
27175,2416,235,395
27177,2016,215,355
27179,1620,215,355
